word,semantic_dissimilarity
in,0.37618398666381836
alto,0.28100478649139404
e,0.23295992612838745
vedono,0.24918264150619507
solo,0.24411910772323608
una,0.192379891872406
lunga,0.3032771348953247
proboscide,0.421487033367157
Non,0.3870384097099304
passo,0.4158308506011963
dal,0.35550302267074585
buco,0.3824593424797058
urla,0.3284575343132019
Elefante,0.3407416045665741
Orso,0.4129165709018707
Volpe,0.4037489891052246
Talpa,0.3513700067996979
Rospo,0.32238778471946716
e,0.2380121946334839
Formica,0.3734701871871948
si,0.3686072826385498
mettono,0.4297696352005005
a,0.3439081907272339
scavare,0.44055378437042236
e,0.2869718074798584
scava,0.3249240517616272
scava,0.2571141719818115
scava,0.1941433846950531
ecco,0.38863450288772583
che,0.3312014937400818
riescono,0.3878326416015625
ad,0.373099684715271
allargare,0.3649347424507141
il,0.2713339924812317
buco,0.25838661193847656
ma,0.20865023136138916
Elefante,0.41700300574302673
è,0.20842725038528442
ancora,0.21860390901565552
troppo,0.2756497859954834
grande,0.2071380317211151
Si,0.3121103048324585
vede,0.24526351690292358
solo,0.2287062406539917
la,0.2535945773124695
testa,0.246128112077713
Allora,0.39399993419647217
decidono,0.3556956648826599
di,0.23755717277526855
uscire,0.25805747509002686
tutti,0.25727736949920654
quanti,0.34639841318130493
dalla,0.31392669677734375
tana,0.43246012926101685
per,0.21301382780075073
fare,0.1976972222328186
una,0.22015035152435303
bella,0.23096734285354614
merenda,0.34478622674942017
sull',0.3615635633468628
erba,0.3341779112815857
anche,0.2652209401130676
con,0.22301411628723145
Elefante,0.506832222143809
Attraversano,0.48443707823753357
il,0.3725535273551941
deserto,0.35641512274742126
e,0.242290198802948
all',0.3566526174545288
improvviso,0.26970183849334717
un,0.16078156232833862
elefante,0.2950207591056824
Vi,0.39770400524139404
siete,0.39201200008392334
persi,0.2927418053150177
Presto,0.249108225107193
Tutti,0.21757268905639648
in,0.3226775527000427
groppa,0.3962867856025696
dice,0.3200206756591797
l',0.2889339327812195
elefante,0.3442983627319336
E,0.330563485622406
allora,0.2507120370864868
Orso,0.33865854144096375
Volpe,0.319820761680603
Talpa,0.2927379906177521
Rospo,0.2757709324359894
e,0.2125471830368042
Formica,0.33277398347854614
si,0.30343782901763916
arrampicano,0.4022471010684967
sulla,0.2939736843109131
schiena,0.37804698944091797
