sentence_ids,tokens_no_punct,lemma_no_punct,PoS,depparse,head,constituency,AoA(m+sd),Zipf_freq
22,perché,perché,ADV,advmod,andiamo,,,5.965637226
22,non,non,ADV,advmod,andiamo,,,7.259198169
22,andiamo,andare,VERB,root,ROOT,,4.20 ± 1.44,5.868904099
22,a,a,ADP,mark,rotolar,,,7.004335738
22,rotolar,rotolare,VERB,xcomp,andiamo,,,
22,ci,ci,PRON,expl,rotolar,,,6.517126939
22,in,in,ADP,case,prato,,,6.797274494
22,il,il,DET,det,prato,,,7.039560886
22,prato,prato,NOUN,obl,rotolar,,4.96 ± 2.21,3.865325043
22,,,PUNCT,punct,andiamo,,,
23,,,PUNCT,root,ROOT,,,
23,,,PUNCT,punct,>,,,
23,,,PUNCT,punct,>,,,
24,il,il,DET,det,ragno,,,7.039560886
24,piccolo,piccolo,ADJ,amod,ragno,,4.12 ± 3.18,5.291431625
24,ragno,ragno,NOUN,nsubj,tesse,,4.48 ± 0.96,3.818289087
24,tesse,tessere,VERB,root,ROOT,,,2.660745246
24,e,e,CCONJ,cc,tace,,,2.741151583
24,tace,tacere,VERB,conj,tesse,,,2.829412487
24,,,PUNCT,punct,tesse,,,
25,arriva,arrivare,VERB,root,ROOT,,,4.940504965
25,il,il,DET,det,cane,,,7.039560886
25,cane,cane,NOUN,nsubj,Arriva,,2.76 ± 1.23,5.020066123
25,e,e,CCONJ,cc,dice,,,2.741151583
25,gli,gli,PRON,iobj,dice,,,6.227520191
25,dice,dire,VERB,conj,Arriva,,4.08 ± 1.73,5.609257672
25,,,SYM,discourse,Arriva,,,
25,,,PUNCT,punct,Vieni,,,
25,bau,Bau,INTJ,discourse,Vieni,,,2.25162107
25,bau,Bau,INTJ,discourse,Vieni,,,2.25162107
25,vieni,venire,VERB,parataxis,Arriva,,4.80 ± 2.10,5.596576886
25,,,PUNCT,punct,Vieni,,,
25,che,che,SCONJ,mark,andiamo,,,7.250456545
25,andiamo,andare,VERB,conj,Vieni,,4.20 ± 1.44,5.868904099
25,a,a,ADP,case,caccia,,,7.004335738
25,caccia,caccia,NOUN,obl,andiamo,,,4.781987837
25,da,da,ADP,case,gatto,,,6.577812618
25,il,il,DET,det,gatto,,,7.039560886
25,gatto,gatto,NOUN,obl,andiamo,,2.56 ± 1.26,4.503840711
25,,,PUNCT,punct,Vieni,,,
25,,,PUNCT,punct,Vieni,,,
25,,,PUNCT,punct,Arriva,,,
25,,,PUNCT,punct,Arriva,,,
26,il,il,DET,det,ragno,,,7.039560886
26,piccolo,piccolo,ADJ,amod,ragno,,4.12 ± 3.18,5.291431625
26,ragno,ragno,NOUN,nsubj,tesse,,4.48 ± 0.96,3.818289087
26,tesse,tessere,VERB,root,ROOT,,,2.660745246
26,e,e,CCONJ,cc,tace,,,2.741151583
26,tace,tacere,VERB,conj,tesse,,,2.829412487
26,,,PUNCT,punct,tesse,,,
27,arriva,arrivare,VERB,root,ROOT,,,4.940504965
27,il,il,DET,det,gatto,,,7.039560886
27,gatto,gatto,NOUN,nsubj,Arriva,,2.56 ± 1.26,4.503840711
27,e,e,CCONJ,cc,dice,,,2.741151583
27,gli,gli,PRON,iobj,dice,,,6.227520191
27,dice,dire,VERB,conj,Arriva,,4.08 ± 1.73,5.609257672
27,,,SYM,discourse,Arriva,,,
27,,,PUNCT,punct,Maoo,,,
27,maoo,mao,INTJ,discourse,Arriva,,,
27,,,PUNCT,punct,Maoo,,,
27,maooo,Maooo,INTJ,discourse,Arriva,,,
27,,,PUNCT,punct,Maooo,,,
28,se,se,SCONJ,mark,andassimo,,,6.583110863
28,andassimo,andare,VERB,root,ROOT,,4.20 ± 1.44,3.520321109
28,a,a,ADP,mark,farci,,,7.004335738
28,farci,fare,VERB,xcomp,andassimo,,4.40 ± 2.22,4.836738348
28,un,uno,DET,det,pisolino,,,7.065833912
28,pisolino,pisolino,NOUN,obj,farci,,,3.63574843
28,,,PUNCT,punct,andassimo,,,
28,,,PUNCT,punct,andassimo,,,
28,,,PUNCT,punct,andassimo,,,
29,il,il,DET,det,ragno,,,7.039560886
29,piccolo,piccolo,ADJ,amod,ragno,,4.12 ± 3.18,5.291431625
29,ragno,ragno,NOUN,nsubj,tesse,,4.48 ± 0.96,3.818289087
29,tesse,tessere,VERB,root,ROOT,,,2.660745246
29,e,e,CCONJ,cc,tace,,,2.741151583
29,tace,tacere,VERB,conj,tesse,,,2.829412487
29,,,PUNCT,punct,tesse,,,
30,arriva,arrivare,VERB,root,ROOT,,,4.940504965
30,l’,il,DET,det,anatra,,,
30,anatra,anatra,NOUN,nsubj,Arriva,,5.12 ± 2.19,3.698104207
30,e,e,CCONJ,cc,dice,,,2.741151583
30,gli,gli,PRON,iobj,dice,,,6.227520191
30,dice,dire,VERB,conj,Arriva,,4.08 ± 1.73,5.609257672
30,,,PUNCT,punct,dice,,,
30,,,PUNCT,punct,Qua,,,
30,,,PUNCT,punct,Qua,,,
30,qua,qua,ADV,parataxis,Arriva,,,5.522856403
30,,,PUNCT,punct,Qua,,,
30,qua,qua,ADV,advmod,Vieni,,,5.522856403
30,,,PUNCT,punct,Qua,,,
30,vieni,venire,VERB,parataxis,Arriva,,4.80 ± 2.10,5.596576886
30,con,con,ADP,case,me,,,6.620271703
30,me,me,PRON,obl,Vieni,,,6.337855516
30,a,a,ADP,mark,nuotare,,,7.004335738
30,nuotare,nuotare,VERB,xcomp,Vieni,,5.28 ± 2.17,4.126178512
30,,,PUNCT,punct,Vieni,,,
31,,,PUNCT,root,ROOT,,,
31,,,PUNCT,punct,>,,,
31,,,PUNCT,punct,>,,,
32,il,il,DET,det,ragno,,,7.039560886
32,piccolo,piccolo,ADJ,amod,ragno,,4.12 ± 3.18,5.291431625
32,ragno,ragno,NOUN,nsubj,smesso,,4.48 ± 0.96,3.818289087
32,ha,avere,AUX,aux,smesso,,,6.684018637
32,smesso,smettere,VERB,root,ROOT,,,4.553782533
32,di,di,ADP,case,tessere,,,7.232814475
32,tessere,tessera,NOUN,obl,smesso,,,3.224346986
32,,,PUNCT,punct,smesso,,,
33,la,il,DET,det,ragnatela,,,7.055331658
33,ragnatela,ragnatela,NOUN,nsubj,pronta,,,3.110001322
33,è,essere,AUX,cop,pronta,,,7.249521761
33,pronta,pronto,ADJ,root,ROOT,,,4.917324392
33,,,PUNCT,punct,pronta,,,
34,allora,allora,ADV,advmod,arriva,,,6.072527547
34,arriva,arrivare,VERB,root,ROOT,,,4.940504965
34,il,il,DET,det,gallo,,,7.039560886
34,gallo,gallo,NOUN,nsubj,arriva,,4.36 ± 1.87,3.601700463
34,e,e,CCONJ,cc,dice,,,2.741151583
34,gli,gli,PRON,iobj,dice,,,6.227520191
34,dice,dire,VERB,conj,arriva,,4.08 ± 1.73,5.609257672
34,,,PUNCT,punct,arriva,,,
35,,,PUNCT,punct,Chiccirichi,,,
35,,,PUNCT,punct,Chiccirichi,,,
35,chiccirichi,Chiccirichi,PROPN,root,ROOT,,,
35,,,PUNCT,punct,Chiccirichi,,,
36,perché,perché,PRON,obl,andiamo,,,5.965637226
36,non,non,ADV,advmod,andiamo,,,7.259198169
36,andiamo,andare,VERB,root,ROOT,,4.20 ± 1.44,5.868904099
36,assieme,assieme,ADV,advmod,andiamo,,,4.446678017
