sentence_ids,tokens,tokens_no_punct,lemma,lemma_no_punct,PoS,depparse,head,constituency,AoA(m+sd),Zipf_freq
35,Nina,nina,Nina,Nina,PROPN,obj,mangiar,,,"1,668044485"
35,.,,.,,PUNCT,punct,ha,,,
36,Il,il,il,il,DET,det,lupo,,,"7,039560886"
36,lupo,lupo,lupo,lupo,NOUN,nsubj,diventato,,3.92 ± 0.86,"4,449560513"
36,spaventoso,spaventoso,spaventoso,spaventoso,ADJ,amod,lupo,,5.24 ± 2.20,"4,038804227"
36,",",,",",,PUNCT,punct,lupo,,,
36,cattivo,cattivo,cattivo,cattivo,ADJ,conj,spaventoso,,3.48 ± 1.26,"4,710488731"
36,e,e,e,e,CCONJ,cc,affamato,,,"2,741151583"
36,affamato,affamato,affamato,affamato,ADJ,conj,spaventoso,,4.84 ± 2.15,"3,853681062"
36,è,è,essere,essere,AUX,aux,diventato,,,"7,249521761"
36,diventato,diventato,diventare,diventare,VERB,root,ROOT,,,"4,711537752"
36,un,un,uno,uno,DET,det,cucciolo,,,"7,065833912"
36,cucciolo,cucciolo,cucciolo,cucciolo,NOUN,xcomp,diventato,,4.12 ± 1.09,"3,979798346"
36,dolce,dolce,dolce,dolce,ADJ,amod,cucciolo,,5.08 ± 2.91,"4,825047682"
36,",",,",",,PUNCT,punct,tenero,,,
36,tenero,tenero,tenero,tenero,ADJ,conj,dolce,,4.96 ± 1.74,"3,766688211"
36,e,e,e,e,CCONJ,cc,coccolone,,,"2,741151583"
36,coccolone,coccolone,coccolone,coccolone,ADJ,conj,dolce,,,"2,287833243"
36,",",,",",,PUNCT,punct,sparisce,,,
36,sorridendo,sorridendo,sorridere,sorridere,VERB,advcl,sparisce,,,"3,538253245"
36,",",,",",,PUNCT,punct,sorridendo,,,
36,sparisce,sparisce,sparire,sparire,VERB,conj,diventato,,,"3,559210115"
36,in,in,in,in,ADP,case,bosco,,,"6,797274494"
36,il,il,il,il,DET,det,bosco,,,"7,039560886"
36,bosco,bosco,bosco,bosco,NOUN,obl,sparisce,,4.52 ± 1.26,"4,24188269"
36,insieme,insieme,insieme,insieme,ADV,case,ciuccio,,,"5,500638545"
36,a,a,a,a,ADP,fixed,insieme,,,"7,004335738"
36,il,il,il,il,DET,det,ciuccio,,,"7,039560886"
36,ciuccio,ciuccio,ciuccio,ciuccio,NOUN,obl,sparisce,,2.96 ± 1.57,"2,858376183"
36,e,e,e,e,CCONJ,cc,tornerà,,,"2,741151583"
36,non,non,non,non,ADV,advmod,tornerà,,,"7,259198169"
36,tornerà,tornerà,tornare,tornare,VERB,conj,diventato,,,"4,542236289"
36,mai,mai,mai,mai,ADV,advmod,tornerà,,,"6,144963021"
36,più,più,più,più,ADV,advmod,tornerà,,,"6,382555861"
36,.,,.,,PUNCT,punct,diventato,,,
37,Dopo,dopo,dopo,dopo,ADP,case,incontro,,,"5,792396528"
37,questo,questo,questo,questo,DET,det,incontro,,,"6,484206212"
37,strano,strano,strano,strano,ADJ,amod,incontro,,5.88 ± 2.11,"5,190553923"
37,incontro,incontro,incontro,incontro,NOUN,obl,decide,,,"4,860240111"
37,Nina,nina,Nina,Nina,PROPN,nsubj,decide,,,"1,668044485"
37,",",,",",,PUNCT,punct,Nina,,,
37,un,un,uno,uno,DET,det,po',,,"7,065833912"
37,po',po,poco,poco,ADV,advmod,stanca,,,"4,399095757"
37,stanca,stanca,stanco,stanco,ADJ,amod,Nina,,5.80 ± 1.87,"4,451828998"
37,",",,",",,PUNCT,punct,Nina,,,
37,decide,decide,decidere,decidere,VERB,root,ROOT,,,"3,953226593"
37,di,di,di,di,ADP,mark,tornare,,,"7,232814475"
37,tornare,tornare,tornare,tornare,VERB,xcomp,decide,,,"5,348123033"
37,a,a,a,a,ADP,case,casa,,,"7,004335738"
37,casa,casa,casa,casa,NOUN,obl,tornare,,3.40 ± 1.63,"6,003702937"
37,da,da,da,da,ADP,case,mamma,,,"6,577812618"
37,la,la,il,il,DET,det,mamma,,,"7,055331658"
37,mamma,mamma,mamma,mamma,NOUN,obl,tornare,,1.88 ± 1.27,"5,66327005"
37,.,,.,,PUNCT,punct,decide,,,
38,“,“,“,“,PUNCT,punct,finito,,,
38,Dov’,dov’,dove,dove,ADV,advmod,finito,,,
38,è,è,essere,essere,AUX,aux,finito,,,"7,249521761"
38,finito,finito,finire,finire,VERB,root,ROOT,,5.32 ± 2.90,"5,321449975"
38,il,il,il,il,DET,det,ciuccio,,,"7,039560886"
38,tuo,tuo,tuo,tuo,DET,det:poss,ciuccio,,,"6,080045574"
38,ciuccio,ciuccio,ciuccio,ciuccio,NOUN,nsubj,finito,,2.96 ± 1.57,"2,858376183"
38,?,,?,,PUNCT,punct,finito,,,
38,”,”,”,”,PUNCT,punct,finito,,,
38,",",,",",,PUNCT,punct,finito,,,
38,chiede,chiede,chiedere,chiedere,VERB,parataxis,finito,,,"4,493578784"
38,la,la,il,il,DET,det,mamma,,,"7,055331658"
38,mamma,mamma,mamma,mamma,NOUN,nsubj,chiede,,1.88 ± 1.27,"5,66327005"
38,a,a,a,a,ADP,case,Nina,,,"7,004335738"
38,Nina,nina,Nina,Nina,PROPN,obl,chiede,,,"1,668044485"
38,quando,quando,quando,quando,SCONJ,mark,rientra,,,"6,212844009"
38,rientra,rientra,rientrare,rientrare,VERB,advcl,chiede,,,"3,729999329"
38,.,,.,,PUNCT,punct,finito,,,
39,“,“,“,“,PUNCT,punct,Spero,,,
39,Spero,spero,sperare,sperare,VERB,root,ROOT,,,"5,251545534"
39,che,che,che,che,SCONJ,mark,perso,,,"7,250456545"
39,tu,tu,tu,tu,PRON,nsubj,perso,,,"6,414765586"
39,non,non,non,non,ADV,advmod,perso,,,"7,259198169"
39,lo,lo,lo,lo,PRON,obj,perso,,,"6,655915487"
39,abbia,abbia,avere,avere,AUX,aux,perso,,,"5,622383493"
39,perso,perso,perdere,perdere,VERB,ccomp,Spero,,,"5,292824891"
39,!,,!,,PUNCT,punct,Spero,,,
39,”,”,”,”,PUNCT,punct,Spero,,,
39,",",,",",,PUNCT,punct,Spero,,,
39,chiede,chiede,chiedere,chiedere,VERB,parataxis,Spero,,,"4,493578784"
39,preoccupata,preoccupata,preoccupato,preoccupato,ADJ,xcomp,chiede,,6.48 ± 1.85,"4,453255644"
39,.,,.,,PUNCT,punct,Spero,,,
40,“,“,“,“,PUNCT,punct,regalato,,,
40,L’,l’,il,il,PRON,obj,regalato,,,
40,ho,ho,avere,avere,AUX,aux,regalato,,,"6,720262455"
40,regalato,regalato,regalare,regalare,VERB,root,ROOT,,4.76 ± 1.48,"4,032908035"
40,a,a,a,a,ADP,case,qualcuno,,,"7,004335738"
40,qualcuno,qualcuno,qualcuno,qualcuno,PRON,obl,regalato,,,"5,830633781"
40,che,che,che,che,PRON,nsubj,aveva,,,"7,250456545"
40,ne,ne,ne,ne,PRON,iobj,aveva,,,"6,201935117"
40,aveva,aveva,avere,avere,VERB,acl:relcl,qualcuno,,,"5,632280537"
40,veramente,veramente,veramente,veramente,ADV,advmod,aveva,,,"5,314055894"
40,bisogno,bisogno,bisogno,bisogno,NOUN,obj,aveva,,,"5,803235462"
40,”,”,”,”,PUNCT,punct,regalato,,,
40,",",,",",,PUNCT,punct,regalato,,,
40,risponde,risponde,rispondere,rispondere,VERB,parataxis,regalato,,3.88 ± 1.59,"4,376323713"
40,Nina,nina,Nina,Nina,PROPN,nsubj,risponde,,,"1,668044485"
40,e,e,e,e,CCONJ,cc,sorride,,,"2,741151583"
40,sorride,sorride,sorridere,sorridere,VERB,conj,risponde,,,"3,570228748"
40,tra,tra,tra,tra,ADP,case,se,,,"5,670548919"
40,se,se,se,se,SCONJ,obl,sorride,,,"6,583110863"
40,e,e,e,e,CCONJ,cc,se,,,"2,741151583"
40,se,se,se,se,SCONJ,conj,se,,,"6,583110863"
40,.,,.,,PUNCT,punct,regalato,,,
